Initializing DockingService
DockingService initialized
Docking Start Time: 1690065791.8468978
Initializing DockingService
DockingService initialized
Docking Start Time: 1690066474.0330892
Time: 1690066520.562777, Batch Size: 10
Time: 1690066646.562448, Batch Size: 10
Time: 1690066649.344169, Batch Size: 10
Time: 1690066665.228855, Batch Size: 10
Time: 1690066675.6449494, Batch Size: 10
Time: 1690066680.1444933, Batch Size: 10
Time: 1690066681.7995884, Batch Size: 10
Time: 1690066708.842122, Batch Size: 91
Time: 1690066785.3265498, Batch Size: 10
Time: 1690066824.6845105, Batch Size: 10
Time: 1690066959.2777982, Batch Size: 127
Time: 1690067273.188707, Batch Size: 152
Time: 1690067442.715005, Batch Size: 59
Time: 1690067472.1983948, Batch Size: 59
Time: 1690067478.5052335, Batch Size: 59
Time: 1690067483.7935598, Batch Size: 59
Time: 1690067497.2663755, Batch Size: 59
Time: 1690067560.3933961, Batch Size: 59
Time: 1690067606.4827397, Batch Size: 168
Time: 1690067707.2053936, Batch Size: 35
Time: 1690067832.2074707, Batch Size: 35
Time: 1690067959.8016064, Batch Size: 184
Time: 1690068052.9110157, Batch Size: 50
Time: 1690068075.714352, Batch Size: 43
Time: 1690068092.832296, Batch Size: 50
Time: 1690068102.0590568, Batch Size: 43
Time: 1690068124.1475966, Batch Size: 50
Time: 1690068139.883548, Batch Size: 10
Time: 1690068139.921443, Batch Size: 19
Time: 1690068271.1955667, Batch Size: 50
Time: 1690068381.531021, Batch Size: 200
Time: 1690068637.720024, Batch Size: 50
Time: 1690068658.9410279, Batch Size: 43
Time: 1690068659.0155215, Batch Size: 43
Time: 1690068779.1398582, Batch Size: 204
Time: 1690068816.371447, Batch Size: 41
Time: 1690068834.5395393, Batch Size: 50
Time: 1690068853.476765, Batch Size: 50
Time: 1690069062.5484185, Batch Size: 28
Time: 1690069116.913991, Batch Size: 35
Time: 1690069197.0027578, Batch Size: 213
Time: 1690069256.680576, Batch Size: 43
Time: 1690069313.0707123, Batch Size: 43
Time: 1690069321.054678, Batch Size: 50
Time: 1690069369.3050816, Batch Size: 10
Time: 1690069369.308126, Batch Size: 12
Time: 1690069430.0470347, Batch Size: 41
Time: 1690069483.6346433, Batch Size: 49
Time: 1690069542.3977473, Batch Size: 46
