Initializing DockingService
DockingService initialized
Docking Start Time: 1689929095.10168
Time: 1689929123.0371895, Batch Size: 10
Time: 1689929292.969289, Batch Size: 91
Time: 1689929543.930685, Batch Size: 140
Time: 1689929840.7190764, Batch Size: 165
Time: 1689930194.8928833, Batch Size: 190
Time: 1689930565.8794386, Batch Size: 206
Time: 1689930971.2979712, Batch Size: 215
Time: 1689931374.4524574, Batch Size: 224
Time: 1689931796.6464067, Batch Size: 233
Time: 1689932239.4012203, Batch Size: 237
Time: 1689932670.4083645, Batch Size: 241
Time: 1689933128.7356887, Batch Size: 245
Time: 1689933576.44939, Batch Size: 249
Time: 1689934038.9631357, Batch Size: 253
Time: 1689934490.3638682, Batch Size: 257
Time: 1689934970.1313076, Batch Size: 261
Time: 1689935454.9352539, Batch Size: 265
Time: 1689935942.211198, Batch Size: 266
Time: 1689936442.3842452, Batch Size: 267
Time: 1689936923.3088424, Batch Size: 268
Time: 1689937401.5240204, Batch Size: 269
Time: 1689937918.3337889, Batch Size: 273
Time: 1689938425.4053707, Batch Size: 274
Time: 1689938934.363246, Batch Size: 275
Time: 1689939435.1591773, Batch Size: 276
Time: 1689939941.3094835, Batch Size: 277
Time: 1689940448.7946634, Batch Size: 278
Time: 1689940930.374176, Batch Size: 279
Time: 1689941443.0758843, Batch Size: 280
Time: 1689941974.6089277, Batch Size: 281
Time: 1689942491.6668417, Batch Size: 282
Time: 1689943004.0705159, Batch Size: 283
Time: 1689943524.0139973, Batch Size: 284
Time: 1689944065.8083332, Batch Size: 285
Time: 1689944578.6058002, Batch Size: 285
Time: 1689945113.872518, Batch Size: 286
Time: 1689945654.9060216, Batch Size: 287
Time: 1689946191.1837907, Batch Size: 287
Time: 1689946713.7308588, Batch Size: 288
Time: 1689947232.1565747, Batch Size: 289
Time: 1689947770.2437584, Batch Size: 290
Time: 1689948309.0432544, Batch Size: 291
Time: 1689948845.3880172, Batch Size: 292
Time: 1689949411.5094986, Batch Size: 293
Time: 1689949929.1673684, Batch Size: 293
Time: 1689950446.4882283, Batch Size: 294
Time: 1689950978.5916092, Batch Size: 295
Time: 1689951531.5625653, Batch Size: 296
Time: 1689952084.8896766, Batch Size: 296
Time: 1689952611.1139574, Batch Size: 296
Time: 1689953146.6419518, Batch Size: 297
Time: 1689953720.163657, Batch Size: 298
Time: 1689954264.5940332, Batch Size: 298
Time: 1689954813.860272, Batch Size: 298
Time: 1689955366.0221999, Batch Size: 298
Time: 1689955943.4423313, Batch Size: 298
Time: 1689956483.043669, Batch Size: 298
Time: 1689956723.6651936, Batch Size: 128
